"Search Location","Name","Ratings","Best Services","Remarks","Shop Address","Website","Phone"
"Queen Creek, Arizona 85142","Rapid iPhone Repair","4.8 (1400)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Gilbert, AZ","N/A","(480) 316-8679"
"Sylmar, California 91342","CPR Cell Phone Repair","4.9 (1700)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Turnaround","16204 Devonshire St","N/A","(818) 792-3355"
"Brooklyn, New York 11207","David Quick Repair","5 (494)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Service","Brooklyn, NY","N/A","(917) 717-3851"
"Brooklyn, New York 11207","Trisha Wireless - Cell Phone repair. Computer, MacBook Repair.","4.9 (500)","[Screen Repair, Battery Replacement, MacBook Repair]","Fast Service","Brooklyn, NY","N/A","(929) 234-2111"
"Brooklyn, New York 11207","Phone repair Luigy wireless corp # 2","4.8 (333)","[Screen Repair, Battery Replacement, Phone Diagnosis]","Quick Fixes","Brooklyn, NY","N/A","(934) 444-6921"
"Brooklyn, New York 11207","uBreakiFix - Phone and Computer Repair","4.7 (2500)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(929) 324-0277"
"Brooklyn, New York 11207","iFixScreens Williamsburg Brooklyn","4.7 (901)","[Screen Repair, Water Damage Repair, iPhone Repair]","Fast Service","Brooklyn, NY","N/A","(347) 987-4357"
"New York, New York 10025","uBreakiFix - Phone and Computer Repair","4.9 (900)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","New York, NY","N/A","(212) 495-9288"
"New York, New York 10025","Techtronics iPhone Laptop and MacBook Repair","4.8 (1200)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","New York, NY","N/A","(212) 960-8785"
"New York, New York 10025","uBreakiFix - Phone and Computer Repair","4.7 (1800)","[Screen Repair, Battery Replacement, Laptop Repair]","Fast Service","New York, NY","N/A","(212) 903-4349"
"New York, New York 10025","uBreakiFix - Phone and Computer Repair","4.6 (1000)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","New York, NY","N/A","(212) 810-7691"
"New York, New York 10025","uBreakiFix - Phone and Computer Repair","4.4 (1300)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","New York, NY","N/A","(212) 989-4878"
"Brooklyn, New York 11206","iPhone Doc NYC","5 (432)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(973) 996-8083"
"Brooklyn, New York 11206","CPR Cell Phone Repair","5 (588)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Brooklyn, NY","N/A","(914) 350-2118"
"Brooklyn, New York 11206","Phone repair Luigy wireless corp # 2","4.8 (333)","[Screen Repair, Battery Replacement, Phone Diagnosis]","Quick Fixes","Brooklyn, NY","N/A","(934) 444-6921"
"Brooklyn, New York 11206","Luigy Electronics LLC","4.8 (308)","[Screen Repair, Battery Replacement, iPhone Repair]","Trustworthy Service","Brooklyn, NY","N/A","(917) 309-0562"
"Brooklyn, New York 11206","iFixScreens Williamsburg Brooklyn","4.7 (901)","[Screen Repair, Water Damage Repair, iPhone Repair]","Fast Service","Brooklyn, NY","N/A","(347) 987-4357"
"Bell Gardens, California 90201","CPR Cell Phone Repair","5 (2800)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Bellflower, CA","N/A","(562) 709-7779"
"Bell Gardens, California 90201","CPR Cell Phone Repair","4.9 (2000)","[Screen Repair, Battery Replacement, Water Damage]","Fast Turnaround","Cypress, CA","N/A","(714) 827-4277"
"Long Beach, California 90805","The Fix in Walmart Lakewood","5 (339)","[Screen Repair, Battery Replacement, Quick Turnaround]","Fast Service","Lakewood, CA","N/A","(562) 737-0490"
"Long Beach, California 90805","South Bay Mobile","4.9 (513)","[Charging Port Repair, Screen Repair, Battery Replacement]","Fast Service","Lomita, CA","N/A","(310) 845-6120"
"Long Beach, California 90805","Long Beach Computer Repair","4.7 (308)","[Screen Repair, Battery Replacement, Data Recovery]","Quick Fixes","Long Beach, CA","N/A","(562) 433-3000"
"Long Beach, California 90805","Long Beach iRepair","4.6 (329)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Signal Hill, CA","N/A","(562) 595-2025"
"Long Beach, California 90805","CPR Cell Phone Repair","4.5 (441)","[Screen Repair, Battery Replacement, Water Damage]","Reliable Service","Long Beach, CA","N/A","(562) 588-9456"
"San Juan, Puerto Rico 926","Fix Pr","5 (325)","[Screen Repair, Battery Replacement, Diagnostic Check]","Quick Fix","San Juan, Puerto Rico","N/A","+1 787-405-5542"
"San Juan, Puerto Rico 926","The Fix - Phone Repair, Tablet Repair and Accessories","5 (1100)","[Screen Repair, Battery Replacement, Water Damage Repair]","Remarkably Durable","Bayamón, Puerto Rico","N/A","+1 787-994-2626"
"San Juan, Puerto Rico 926","Fix on wheels @ plaza carolina mall","4.9 (829)","[Screen Repair, Battery Replacement, Phone Diagnostics]","Reliable Service","Carolina, Puerto Rico","N/A","+1 787-717-7605"
"San Juan, Puerto Rico 926","Mi Celular PR","4.9 (306)","[Screen Repair, Battery Replacement, Water Damage]","Quick Fixes","Bayamón, Puerto Rico","N/A","+1 787-222-2221"
"San Juan, Puerto Rico 926","The Fix - Phone Repair, Tablet Repair and Accessories","4.8 (1800)","[Screen Repair, Battery Replacement, Phone Repair]","Fast Service","San Juan, Puerto Rico","N/A","+1 939-244-8459"
"Sugar Land, Texas 77479","Mobile Spot - iFixPhones Computer & Cellphone Repair ( inside the H-E-B )","5 (1300)","[Screen Repair, Cellphone Repair, Computer Repair]","Quick Fixes","Missouri City, TX","N/A","(832) 334-2975"
"Sugar Land, Texas 77479","The Fix in First Colony Mall","4.9 (1000)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Sugar Land, TX","N/A","(281) 302-8613"
"Sugar Land, Texas 77479","Texas Cellular Cell Phone & Computer Repair & Services","4.9 (2200)","[Screen Repair, Battery Replacement, Diagnostic Services]","Reliable Service","Missouri City, TX","N/A","(281) 403-6666"
"Sugar Land, Texas 77479","ZAGG First Colony","4.9 (676)","[Screen Repair, Battery Replacement, Phone Cases]","Quick Fix","Sugar Land, TX","N/A","(281) 240-0700"
"Sugar Land, Texas 77479","Htown Phone Repair","4.9 (805)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","N/A","N/A","(281) 450-1269"
"Chicago, Illinois 60618","GSM Solutions Inc.","5 (1100)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Chicago, IL","N/A","(773) 860-4201"
"Chicago, Illinois 60618","Cellz Repairz","5 (483)","[Screen Repair, Battery Replacement, Phone Diagnostics]","Good Value","Chicago, IL","N/A","(773) 413-7489"
"Chicago, Illinois 60618","Cell N Comp Repairs","4.9 (590)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Chicago, IL","N/A","(312) 929-9807"
"Chicago, Illinois 60618","All Day iFix","4.9 (593)","[Screen Repair, iPhone Repair, Mobile Repair]","Friendly Service","Chicago, IL","N/A","(773) 244-8177"
"Chicago, Illinois 60618","Cell N Comp Repairs","4.9 (1300)","[iPhone Repair, Water Damage Repair, Screen Repair]","Fast Service","Chicago, IL","N/A","(773) 942-4329"
"Brooklyn, New York 11221","iPhone Doc NYC","5 (432)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(973) 996-8083"
"Brooklyn, New York 11221","CPR Cell Phone Repair","5 (588)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Brooklyn, NY","N/A","(914) 350-2118"
"Brooklyn, New York 11221","Trisha Wireless - Cell Phone repair. Computer, MacBook Repair.","4.9 (500)","[Screen Repair, Battery Replacement, MacBook Repair]","Fast Service","Brooklyn, NY","N/A","(929) 234-2111"
"Brooklyn, New York 11221","Luigy Electronics LLC","4.8 (308)","[Screen Repair, Battery Replacement, iPhone Repair]","Trustworthy Service","Brooklyn, NY","N/A","(917) 309-0562"
"Brooklyn, New York 11221","Phone repair Luigy wireless corp # 2","4.8 (333)","[Screen Repair, Battery Replacement, Phone Diagnosis]","Quick Fixes","Brooklyn, NY","N/A","(934) 444-6921"
"Pearland, Texas 77584","CPR Cell Phone Repair","5 (564)","[Screen Repair, Battery Replacement, Water Damage]","Quality Repairs","Pearland, TX","N/A","(281) 939-9361"
"Pearland, Texas 77584","Cell Phone Repair Techy Pearland InsideWalmart No Need Appointment IPad,Samsung,Tablets,PC ,Laptop,Gaming Consoles, Drones,VR","4.9 (1500)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Pearland, TX","N/A","(832) 977-0554"
"Pearland, Texas 77584","The Phone Plug (Pearland Phone Repair)","4.9 (372)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Pearland, TX","N/A","(832) 818-5005"
"Pearland, Texas 77584","Cellpoint","4.9 (532)","[Screen Repair, Phone Repair, Shattered Screen]","Fast Service","Pearland, TX","N/A","(832) 672-5505"
"Pearland, Texas 77584","Mobile Max Wireless","4.9 (605)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Pearland, TX","N/A","(832) 774-4888"
"Yukon, Oklahoma 73099","Jumptronics Phone Rescue (Cell Phone Repair)","4.9 (623)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Turnaround","Yukon, OK","N/A","(405) 698-9362"
"Yukon, Oklahoma 73099","Fast Bros Phone Repair","4.9 (508)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Edmond, OK","N/A","(405) 726-8939"
"Yukon, Oklahoma 73099","CPR Cell Phone Repair","4.8 (1000)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Oklahoma City, OK","N/A","(405) 767-9400"
"Yukon, Oklahoma 73099","Dash Cellular Repair","4.7 (1100)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Oklahoma City, OK","N/A","(405) 601-7020"
"Yukon, Oklahoma 73099","Verizon","4.7 (645)","[Phone Repair, Device Troubleshooting, Technical Support]","Expert Service","Yukon, OK","N/A","(405) 265-2387"
"Brooklyn, New York 11220","Fast Fix Mobile inc.","4.9 (348)","[Screen Repair, Battery Replacement, Phone Repair]","Fast Service","8611 4th Ave","N/A","(718) 207-1935"
"Brooklyn, New York 11220","uBreakiFix - Phone and Computer Repair","4.8 (826)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","8612 5th Ave","N/A","(929) 998-0200"
"Brooklyn, New York 11220","uBreakiFix - Phone and Computer Repair","4.7 (2500)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","392 Court St","N/A","(929) 324-0277"
"Brooklyn, New York 11220","iFixScreens 5th Ave Brooklyn","4.7 (1200)","[Screen Repair, Battery Replacement, Phone Repair]","Reliable Service","129 5th Ave","N/A","(929) 337-6052"
"Cedar Park, Texas 78613","CellFix79 - Cell Phone Repair Round Rock","4.9 (819)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Round Rock, TX","N/A","(512) 605-1969"
"Cedar Park, Texas 78613","CellDoctor (APPLE CERTIFIED) @ Lakeline Mall, IPhone, Cell Phone Repair @Austin","4.8 (519)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Cedar Park, TX","N/A","(512) 589-4540"
"Cedar Park, Texas 78613","uBreakiFix - Phone and Computer Repair","4.6 (1600)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Cedar Park, TX","N/A","(512) 456-7156"
"Cedar Park, Texas 78613","Lakeline Mall","4.2 (8200)","[Retail Shopping, Food Court, Event Space]","Timely Value","Cedar Park, TX","N/A","(512) 257-7467"
"Cedar Park, Texas 78613","AT&T Store","4.1 (950)","[Troubleshooting, Bill Adjustment, Savings Plans]","Helpful Staff","Cedar Park, TX","N/A","(737) 373-6235"
"Westminster, California 92683","Rapid Fix -Phone Repair-","5 (390)","[Screen Repair, Battery Replacement, Quick Repair]","Fast Service","Westminster, MD","N/A","(929) 803-0573"
"Westminster, California 92683","Fix It Wireless-Westminster","4.9 (552)","[Screen Repair, iPhone Repair, Mobile Repair]","Reliable Service","Westminster, CO","N/A","(303) 993-5015"
"Frisco, Texas 75035","iFix - Phone, Computer, Console & All Devices Repair | Buy & Sell Refurbished","5 (525)","[Screen Repair, Refurbished Sales, Device Repair]","Fast Service","The Colony, TX","N/A","(972) 987-5171"
"Frisco, Texas 75035","The Fix - Phone Repair, Tablet Repair and Accessories","4.9 (1200)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Frisco, TX","N/A","(972) 880-5848"
"Frisco, Texas 75035","ZAGG Stonebriar Mall","4.9 (4800)","[Screen Repair, Battery Replacement, Quick Repair]","Fast Service","Frisco, TX","N/A","(214) 970-4741"
"Frisco, Texas 75035","The Fix - Phone Repair, Tablet Repair & Accessories inside Walmart McKinney","4.9 (412)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","McKinney, TX","N/A","(945) 257-3542"
"Frisco, Texas 75035","Wireless Place iPhone iPad & Cell Phone Repair Plano","4.8 (744)","[Screen Repair, Battery Replacement, Water Damage Repair]","Reliable Repairs","Plano, TX","N/A","(972) 575-8705"
"Edinburg, Texas 78542","Mobile Go Repair Edinburg","5 (771)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Edinburg, TX","N/A","(956) 899-6907"
"Edinburg, Texas 78542","uBreakiFix - Phone and Computer Repair","4.9 (418)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","McAllen, TX","N/A","(956) 800-4057"
"Edinburg, Texas 78542","Tech Spot","4.9 (374)","[Quick Fixes, Diagnostic Checks, Software Repair]","Fast Service","Edinburg, TX","N/A","(956) 287-8324"
"Edinburg, Texas 78542","uBreakiFix - Phone and Computer Repair","4.8 (347)","[Screen Repair, Battery Replacement, Same-Day Repair]","Fast Service","Edinburg, TX","N/A","(956) 329-1080"
"Edinburg, Texas 78542","Device Repair Squad","4.8 (455)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Fixes","Donna, TX","N/A","(956) 378-3745"
"Brooklyn, New York 11214","CPR Cell Phone Repair","5 (588)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Brooklyn, NY","N/A","(914) 350-2118"
"Brooklyn, New York 11214","uBreakiFix - Phone and Computer Repair","4.8 (826)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(929) 998-0200"
"Brooklyn, New York 11214","MD Wireless - Fix Phone Repair Shop","4.8 (319)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(718) 975-1950"
"Brooklyn, New York 11214","PayMore - Buy, Sell & Trade Electronics","4.8 (912)","[Phone Buying, Phone Selling, Trade-Ins]","Honest Value","Brooklyn, NY","N/A","(718) 484-7110"
"Brooklyn, New York 11214","uBreakiFix - Phone and Computer Repair","4.7 (2500)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(929) 324-0277"
"Chicago, Illinois 60632","I-Tech Phone Repair","5 (421)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Hometown, IL","N/A","(773) 886-4683"
"Chicago, Illinois 60632","Chicago Cell Phone Repair","4.9 (866)","[Screen Repair, Battery Replacement, Quick Diagnosis]","Fast Service","Chicago, IL","N/A","(773) 497-7421"
"Chicago, Illinois 60632","Unlocked phone repair","4.9 (441)","[Screen Repair, Fast Repair, Phone 11 Repair]","Fast Service","Chicago, IL","N/A","(773) 426-0427"
"Chicago, Illinois 60632","Cell N Comp Repairs","4.9 (1300)","[iPhone Repair, Water Damage Repair, Screen Repair]","Fast Service","Chicago, IL","N/A","(773) 942-4329"
"Chicago, Illinois 60632","All Day iFix","4.9 (593)","[Screen Repair, iPhone Repair, Mobile Repair]","Friendly Service","Chicago, IL","N/A","(773) 244-8177"
"Brooklyn, New York 11212","251 schenectady wireless inc","5 (418)","[Screen Repair, Samsung Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(347) 789-1578"
"Brooklyn, New York 11212","CPR Cell Phone Repair","5 (588)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Brooklyn, NY","N/A","(914) 350-2118"
"Brooklyn, New York 11212","uBreakiFix - Phone and Computer Repair","4.8 (826)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Brooklyn, NY","N/A","(929) 998-0200"
"Brooklyn, New York 11212","MD Wireless - Fix Phone Repair Shop","4.8 (319)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(718) 975-1950"
"Brooklyn, New York 11212","uBreakiFix - Phone and Computer Repair","4.7 (2500)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(929) 324-0277"
"Hesperia, California 92345","The Fix Walmart Hesperia","5 (1500)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Hesperia, CA","N/A","(760) 373-6334"
"Hesperia, California 92345","Universal wireless Cellphone repair","4.9 (430)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Victorville, CA","N/A","(442) 242-7717"
"Hesperia, California 92345","ZAGG Victor Valley","4.9 (721)","[Screen Repair, Phone Repair, Device Protection]","Quality Repairs","Victorville, CA","N/A","(442) 229-2577"
"Hesperia, California 92345","Smart Fix Phone Repair","4.7 (456)","[Screen Repair, Battery Replacement, Phone Restoration]","Fast Turnaround","Victorville, CA","N/A","(760) 985-1457"
"San Marcos, Texas 78666","Cellairis SanMarcos (Phone Repair in San Marcos Inside Walmart) Apple, Samsung, Tablets, Laptops, Game Consoles, Drones,VR","5 (3700)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","San Marcos, TX","N/A","(210) 573-7097"
"San Marcos, Texas 78666","Repair Lounge","4.9 (1100)","[Screen Repair, Battery Replacement, Water Damage]","Trustworthy Repairs","San Marcos, CA","N/A","(760) 798-9401"
"San Marcos, Texas 78666","iFixandRepair Phone Repair Cellphone repair Screen Repair Game Consular PS repair","4.9 (605)","[Screen Repair, Phone Repair, Game Console Repair]","Fast Service","San Marcos, CA","N/A","(603) 952-8919"
"San Marcos, Texas 78666","CPR Cell Phone Repair","4.8 (535)","[Screen Repair, Battery Replacement, Diagnostic Service]","Reliable Service","New Braunfels, TX","N/A","(830) 214-0581"
"San Marcos, Texas 78666","uBreakiFix - Phone and Computer Repair","4.5 (685)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","New Braunfels, TX","N/A","(830) 627-4207"
"Riverside, California 92503","Wo Phone Design Computer Plus","4.9 (500)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Riverside, CA","N/A","(951) 687-1469"
"Riverside, California 92503","CRACKED SCREENS iPHONE & SAMSUNG Repair CENTER","4.9 (1200)","[Screen Repair, iPhone Repair, Samsung Repair]","Fast Service","Corona, CA","N/A","(951) 227-9991"
"Riverside, California 92503","ZAGG Tyler Galleria","4.9 (1700)","[Screen Repair, Battery Replacement, Phone Cases]","Fast Service","Riverside, CA","N/A","(951) 809-3296"
"Riverside, California 92503","Xclusif Cell iPhone Repair","4.6 (359)","[Screen Repair, Charger Port Repair, iPhone Repair]","Fast Service","Riverside, CA","N/A","(951) 660-1212"
"Riverside, California 92503","The FIX","4.5 (639)","[Screen Repair, Case Sales, Privacy Screen Installation]","Fast Service","Riverside, CA","N/A","(951) 286-1168"
"Lehi, Utah 84043","QuickFix Mobile Windshield Repair & Replace, LLC","5 (925)","[Windshield Repair, Windshield Replacement, Mobile Service]","Fast Service","Lehi, UT","N/A","(385) 368-7798"
"Lehi, Utah 84043","ZAGG Traverse Mountain","4.9 (1400)","[Screen Repair, Phone Repair, Device Protection]","Fast Service","Lehi, UT","N/A","(801) 341-8094"
"Lehi, Utah 84043","uBreakiFix - Phone and Computer Repair","4.8 (1000)","[Screen Repair, Battery Replacement, Charger Repair]","Fast Service","Lehi, UT","N/A","(801) 331-8011"
"Lehi, Utah 84043","FixIT Mobile - American Fork","4.8 (1400)","[Screen Repair, Phone Repair, Mobile Repair]","Reliable Service","American Fork, UT","N/A","(385) 625-6576"
"Lehi, Utah 84043","uBreakiFix - Phone and Computer Repair","4.7 (1500)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Provo, UT","N/A","(801) 691-1653"
"Richmond, Texas 77407","iFixandRepair - Richmond inside H-E-B Cellphone, Tablet, Computer, Game Console Repair","5 (402)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Fix","Richmond, TX","N/A","(346) 608-5146"
"Richmond, Texas 77407","Tech Repair Fairfield - iPhones Repair / Android Phones Repair & Computer - Tablets Repairs - (INSIDE HEB) FREE ESTIMATES","5 (2100)","[Screen Repair, Battery Replacement, Water Damage]","Highly Recommended","Cypress, TX","N/A","(281) 758-5899"
"Richmond, Texas 77407","CPR Cell Phone Repair","4.9 (526)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Rosenberg, TX","N/A","(281) 762-7823"
"Richmond, Texas 77407","Htown Phone Repair","4.9 (805)","[Water Damage, iPhone Repair, Fast Repair]","Fast Service","N/A","N/A","(281) 450-1269"
"Richmond, Texas 77407","Phone Repair Techs | Houston iPhone Repair on Richmond Ave. | Electronics Repair Shop","4.9 (602)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Houston, TX","N/A","(832) 909-3330"
"Suwanee, Georgia 30024","Cellairis Cellphone Store Inside Walmart - Suwanee","4.9 (2600)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Suwanee, GA","N/A","(470) 323-6452"
"Suwanee, Georgia 30024","CCR Repair llc","4.9 (460)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Suwanee, GA","N/A","(404) 838-6256"
"Brooklyn, New York 11236","CPR Cell Phone Repair","5 (588)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Brooklyn, NY","N/A","(914) 350-2118"
"Brooklyn, New York 11236","Trisha Wireless - Cell Phone repair. Computer, MacBook Repair.","4.9 (500)","[Screen Repair, Battery Replacement, MacBook Repair]","Fast Service","Brooklyn, NY","N/A","(929) 234-2111"
"Brooklyn, New York 11236","MD Wireless - Fix Phone Repair Shop","4.8 (319)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(718) 975-1950"
"Brooklyn, New York 11236","iFixScreens 5th Ave Brooklyn","4.7 (1200)","[Screen Repair, Battery Replacement, Phone Repair]","Highly Recommended","Brooklyn, NY","N/A","(929) 337-6052"
"Brooklyn, New York 11236","uBreakiFix - Phone and Computer Repair","4.7 (2500)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(929) 324-0277"
"Lawrenceville, Georgia 30043","Cellgeon - Your Electronic Surgeon's","5 (316)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Lawrenceville, GA","N/A","(470) 435-2660"
"Lawrenceville, Georgia 30043","TECHY Lilburn - Buy/Device Repair/Sell - Inside Walmart","5 (3300)","[Back Glass Repair, Battery Replacement, iPhone Repair]","Fast Service","Lilburn, GA","N/A","(770) 899-8281"
"Lawrenceville, Georgia 30043","Cellairis cellphone Phone Store Inside Walmart - Lawrenceville","4.9 (1300)","[Screen Repair, Battery Replacement, Phone Repair]","Fast Service","Lawrenceville, GA","N/A","(470) 776-7665"
"Lawrenceville, Georgia 30043","Phoneaholics Cell Phone Repair, Parts and Accessories","4.9 (1400)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Norcross, GA","N/A","(404) 397-2273"
"Lawrenceville, Georgia 30043","CCR Repair llc","4.9 (460)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Suwanee, GA","N/A","(404) 838-6256"
"Clarksville, Tennessee 37042","The Fix - Walmart Clarksville","4.8 (350)","[Screen Repair, Battery Replacement, Quick Diagnosis]","Fast Service","Clarksville, TN","N/A","(423) 227-2803"
"Clarksville, Tennessee 37042","Mr. Appliance of Clarksville","4.8 (705)","[Refrigerator Repair, Washer Repair, Dryer Repair]","Quick Service","Clarksville, TN","N/A","(931) 701-0458"
"Clarksville, Tennessee 37042","Cell Phone Repairs","4.7 (371)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Clarksville, TN","N/A","(931) 813-4000"
"Clarksville, Tennessee 37042","iFixandRepair - Clarksville Walmart","4.6 (407)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Clarksville, TN","N/A","(929) 272-6929"
"Clarksville, Tennessee 37042","uBreakiFix - Phone and Computer Repair","4.3 (771)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Fix","Clarksville, TN","N/A","(931) 378-7879"
"Bronx, New York 10456","Izzy's IRepair","4.8 (467)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Bronx, NY","N/A","(718) 708-5588"
"Bronx, New York 10456","EZFIX Bronx","4.8 (1400)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Bronx, NY","N/A","(718) 320-3800"
"Brownsville, Texas 78521","CPR Cell Phone Repair","5 (1300)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Brownsville, TX","N/A","(956) 238-2381"
"Brownsville, Texas 78521","Talk N' Fix by SnapFix - Phone, Tablet, Computer Repair and Accessories","5 (895)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Turnaround","Brownsville, TX","N/A","(956) 551-6207"
"Brownsville, Texas 78521","Repair Squad","4.5 (628)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Brownsville, TX","N/A","(956) 372-1811"
"Pasco, Washington 99301","Ez Fix Cell Phone Repair","4.6 (558)","[Screen Repair, Battery Replacement, Quick Turnaround]","Fast Service","Pasco, WA","N/A","(509) 528-0661"
"Pasco, Washington 99301","Ez Fix Cellphone Repair","4.6 (405)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Richland, WA","N/A","(509) 316-6799"
"Brooklyn, New York 11230","Uwire Phone & Computer Repair","4.9 (366)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(347) 530-5454"
"Brooklyn, New York 11230","MD Wireless - Fix Phone Repair Shop","4.8 (319)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(718) 975-1950"
"Brooklyn, New York 11230","Fix.ME","4.8 (315)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Brooklyn, NY","N/A","(347) 277-2633"
"Brooklyn, New York 11230","Good Zone Service & Repairs","4.8 (701)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Repairs","Brooklyn, NY","N/A","(347) 492-4181"
"Brooklyn, New York 11230","iFixScreens 5th Ave Brooklyn","4.7 (1200)","[Screen Repair, Battery Replacement, Phone Repair]","Highly Recommended","Brooklyn, NY","N/A","(929) 337-6052"
"Port Saint Lucie, Florida 34953","Cell & Fix Tech","4.9 (383)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","1694 SE Port St Lucie Blvd","N/A","(772) 267-1669"
"Port Saint Lucie, Florida 34953","DV WIRELESS - Phone Shop - Buy & Sell, Phone & Computer Repair","4.9 (834)","[Phone Sales, Phone Repair, Computer Repair]","Trustworthy Service","Stuart, FL","N/A","(772) 333-2323"
"Port Saint Lucie, Florida 34953","i Sell and Repair - iPhone | Android | and More - iSellandRepair","4.9 (510)","[Screen Repair, Battery Replacement, Diagnostic Service]","Trustworthy Repairs","Fort Pierce, FL","N/A","(772) 539-7177"
"Port Saint Lucie, Florida 34953","iFixandRepair - Treasure Coast Square Mall","4.8 (708)","[Charging Port Repair, Screen Repair, Battery Replacement]","Quick Fix","Jensen Beach, FL","N/A","(772) 310-9769"
