"Name","Ratings","Best Services","Remarks","Location","Website","Phone"
"Phone Repair Squad","4.9 (32)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Reliable","Hawthorne, CA","N/A","(310) 363-3833"
"Empire Phone Repair","5 (35)","[Screen Repair, Battery Replacement, Water Damage]","Fast & Reliable","Hawthorne, CA","N/A","(310) 341-9456"
"CPR Cell Phone Repair","5 (829)","[Screen Repair, Back Glass Repair, Phone Refurbishing]","Like New Results","Lawndale, CA","N/A","(310) 709-8586"
"Mobile Express Repair","5 (8)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Hawthorne, CA","N/A","(424) 498-1009"
"iFix'em Phone Repairs","4.3 (216)","[Charging Port Repair, Screen Repair, Battery Replacement]","Quick, Reliable Fixes","Queen Creek, AZ","N/A","(480) 619-8200"
"iFixandRepair - San Tan Valley","5 (895)","[Screen Repair, Battery Replacement, Fast Repair]","Quick & Reliable","San Tan Valley, AZ","N/A","(602) 486-3300"
"Batteries Plus Phone Repair","3.9 (13)","[Screen Repair, Battery Replacement, Phone Repair]","Fast, Reliable Service","Queen Creek, AZ","N/A","(480) 887-9972"
"Rapid iPhone Repair","4.8 (1400)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast & Reliable","Gilbert, AZ","N/A","(480) 316-8679"
"iPhoneCPR - Mobile iPhone Repair","4.8 (108)","[Screen Repair, Screen Protector, Fast Repair]","Fast & Reliable","Mesa, AZ","N/A","(480) 319-5706"
"Los Angeles Phone Freaks","4.6 (124)","[Screen Repair, Battery Replacement, House Calls]","Fast & Convenient","12328 San Fernando Rd","N/A","(747) 207-0924"
"Simple Prepay Wireless Repair","4.8 (50)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Affordable","13376 Sayre St","N/A","(818) 326-0344"
"Mobile Vision Repairs - iPhone, iPad, Macbook, Microsoft, Xbox, PS4, PS5, Nintendo Repairs","4.7 (51)","[Screen Repair, Battery Replacement, Game Console Repair]","Fast, Reliable Repairs","12431 San Fernando Rd g","N/A","(818) 838-3000"
"CELL PHONE AND COMPUTER REPAIR","5 (234)","[Screen Repair, Battery Replacement, Fast Diagnostics]","Speedy, Reliable Fixes","13120 Van Nuys Blvd","N/A","(818) 747-1453"
"CPR Cell Phone Repair","4.9 (1700)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick & Reliable","16204 Devonshire St","N/A","(818) 792-3355"
"Ozo Geeks - Mobile Laptop & Macbook Repair Service Store","4.6 (586)","[Screen Repair, Laptop Repair, Macbook Repair]","Fast & Reliable","Brooklyn, NY","N/A","(347) 338-2589"
"Flatbush phone repairing shop","5 (251)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Affordable","Brooklyn, NY","N/A","(718) 314-3368"
"Cell Phone Repair SKT","4.8 (270)","[Water Damage Repair, Screen Repair, Fast Repairs]","Fast & Reliable","Brooklyn, NY","N/A","(917) 858-0794"
"NEW LOTS WIRELESS & REPAIR SHOP","5 (45)","[iPhone Repair, Screen Repair, Mobile Repair]","Quick & Reliable","Brooklyn, NY","N/A","(646) 593-6180"
"J&YElectronics - Brooklyn Mobile Phone Repair Store","4.8 (116)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Reliable","Brooklyn, NY","N/A","(347) 295-4027"
"uBreakiFix - Phone and Computer Repair","4.7 (1800)","[Screen Repair, Laptop Repair, Battery Replacement]","Fast, Reliable Fixes","New York, NY","N/A","(212) 903-4349"
"Fix And GO NY - Cell Phone and Computer Repair","4.9 (249)","[Screen Repair, Battery Replacement, Water Damage]","Fast & Affordable","New York, NY","N/A","(212) 203-7789"
"Amsterdam iPhone & iPad Screen Repair","4.7 (254)","[Screen Repair, iPhone Repair, iPad Repair]","Lightning Fast Service","New York, NY","N/A","(212) 933-9396"
"Repair Station - Phone, Tablet, Computer","4.8 (18)","[Screen Repair, Battery Replacement, Diagnostic Service]","Trusted, Reliable Repairs","New York, NY","N/A","(212) 933-9396"
"TSS Phones and Computers","4.6 (96)","[Screen Repair, Phone Repair, Computer Repair]","Reliable, Quick Service","New York, NY","N/A","(347) 279-5868"
"Ozo Geeks - Mobile Laptop & Macbook Repair Service Store","4.6 (586)","[Screen Repair, Laptop Repair, Macbook Repair]","Fast & Reliable","Brooklyn, NY","N/A","(347) 338-2589"
"Repaired Collective","4.5 (49)","[Screen Repair, iPhone Repair, Mobile Repair]","Convenient Fast Service","Brooklyn, NY","N/A","(917) 810-4109"
"Apple Wireless Brooklyn Cell Phone Repair Shop","4.3 (59)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Reliable","Brooklyn, NY","N/A","(631) 452-4198"
"iFixScreens Williamsburg Brooklyn","4.7 (901)","[Screen Repair, Water Damage, iPhone Repair]","Fast & Reliable","Brooklyn, NY","N/A","(347) 987-4357"
"Flatbush phone repairing shop","5 (251)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Affordable","Brooklyn, NY","N/A","(718) 314-3368"
"Repairs al100","5 (80)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Friendly Service","Bell Gardens, CA","N/A","(323) 500-9477"
"R&R Repairs","4.5 (77)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Bell Gardens, CA","N/A","(323) 712-6239"
"phone repair 710 wireless clinic","4.7 (41)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Reliable","Bell, CA","N/A","(323) 362-8003"
"PHONE REPAIR MOBILETECH","4.8 (107)","[Screen Repair, Battery Replacement, Fast Repair]","Quick & Affordable","Cudahy, CA","N/A","(323) 282-8464"
"EZ Phone Repair","4.7 (84)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Affordable","Maywood, CA","N/A","(323) 457-9006"
"CPR Cell Phone Repair","4.5 (441)","[Screen Repair, Battery Replacement, Water Damage]","Reliable, Quick Repairs","Long Beach, CA","N/A","(562) 588-9456"
"Long Beach iRepair","4.6 (329)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Signal Hill, CA","N/A","(562) 595-2025"
"Best Cell Phone Repair","4.8 (260)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Long Beach, CA","N/A","(562) 276-8510"
"FastFix PhoneShop Lakewood","4.9 (466)","[Screen Repair, Battery Replacement, Diagnostic Service]","Reliable, Experienced Technicians","Lakewood, CA","N/A","(562) 246-0470"
"The Fix - Phone Repair, Tablet Repair and Accessories","4.8 (856)","[Screen Repair, Charging Port Cleaning, Phone Repair]","Quick & Reliable","Lakewood, CA","N/A","(562) 966-1444"
"The Fix - Phone Repair, Tablet Repair and Accessories","4.8 (1800)","[Screen Repair, Battery Replacement, Phone Repair]","Quick, Reliable Fixes","San Juan, Puerto Rico","N/A","+1 939-244-8459"
"uBreakiFix - Phone and Computer Repair","4.5 (797)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick & Reliable","San Juan, Puerto Rico","N/A","+1 787-333-6044"
"Fix Pr","5 (325)","[Screen Repair, Battery Replacement, Diagnostic Service]","Quick, Reliable Fixes","San Juan, Puerto Rico","N/A","+1 787-405-5542"
"911SmartFix","4.9 (225)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast, Reliable Fixes","San Juan, Puerto Rico","N/A","+1 787-344-4995"
"PhoneFix & Shop","4.6 (164)","[Screen Repair, Battery Replacement, Diagnostic Service]","Convenient, Local Repair","San Juan, Puerto Rico","N/A","+1 787-724-4033"
"Dr. Cell Phone Lexington","4.7 (920)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Reliable","Sugar Land, TX","N/A","(832) 532-3118"
"The Fix in First Colony Mall","4.9 (1000)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Sugar Land, TX","N/A","(281) 302-8613"
"uBreakiFix - Phone and Computer Repair","4.7 (1600)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Sugar Land, TX","N/A","(281) 201-2176"
"NR Wireless","5 (116)","[Screen Repair, Fast Repair, Phone Unlocking]","Speedy, Reliable Fixes","Sugar Land, TX","N/A","(281) 912-9331"
"Mobile Cellular Repairs","4.3 (78)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Reliable","Sugar Land, TX","N/A","(832) 710-7818"
"Direct PhoneFix","4.8 (539)","[Screen Repair, Samsung Repair, Same-Day Repair]","Fast & Affordable","Chicago, IL","N/A","(773) 384-7722"
"All Day iFix","4.9 (593)","[Screen Repair, iPhone Repair, Mobile Repair]","Friendly, Fast Service","Chicago, IL","N/A","(773) 244-8177"
"Cell N Comp Repairs","4.9 (590)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast & Fair","Chicago, IL","N/A","(312) 929-9807"
"Chicago Gadgets","4.8 (1200)","[Logic Board Repair, Screen Repair, Battery Replacement]","Fast & Fair","Chicago, IL","N/A","(773) 463-9999"
"Cell N Comp Repairs","4.9 (1300)","[iPhone Repair, Water Damage, Screen Repair]","Fast, Reliable Repairs","Chicago, IL","N/A","(773) 942-4329"
"Flatbush phone repairing shop","5 (251)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Affordable","Brooklyn, NY","N/A","(718) 314-3368"
"Ozo Geeks - Mobile Laptop & Macbook Repair Service Store","4.6 (586)","[Screen Repair, Laptop Repair, Macbook Repair]","Fast & Reliable","Brooklyn, NY","N/A","(347) 338-2589"
"iPhone Doc NYC","5 (432)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Affordable","Brooklyn, NY","N/A","(973) 996-8083"
"iFIX NYC - MacBook Phone Gaming Console and Tablet Repair","4.6 (459)","[Screen Repair, Battery Replacement, Console Repair]","Fast & Affordable","Brooklyn, NY","N/A","(718) 576-6777"
"Repaired Collective","4.5 (49)","[Screen Repair, iPhone Repair, Mobile Repair]","Convenient Fast Service","Brooklyn, NY","N/A","(917) 810-4109"
"Phone Mechanics","4.9 (35)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","South Gate, CA","N/A","(323) 250-4450"
"Quik Repairs","4.7 (117)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast, Reliable Repairs","South Gate, CA","N/A","(562) 656-4622"
"Gamacell","4.9 (164)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","South Gate, CA","N/A","(323) 763-2093"
"iFixandRepair - South Gate Walmart","4.6 (52)","[Screen Repair, Battery Replacement, Charging Port Repair]","Fast, Reliable Repairs","South Gate, CA","N/A","(562) 250-4950"
"All in one mobile","4.6 (36)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","South Gate, CA","N/A","(310) 928-5216"
"Cell Phone Repair Techy Pearland InsideWalmart No Need Appointment IPad,Samsung,Tablets,PC ,Laptop,Gaming Consoles, Drones,VR","4.9 (1500)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Reliable","Pearland, TX","N/A","(832) 977-0554"
"The Phone Plug (Pearland Phone Repair)","4.9 (372)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Reliable","Pearland, TX","N/A","(832) 818-5005"
"CPR Cell Phone Repair","5 (564)","[Screen Repair, Battery Replacement, Water Damage]","Premium Quality Repairs","Pearland, TX","N/A","(281) 939-9361"
"uBreakiFix - Phone and Computer Repair","4.7 (1300)","[Screen Repair, Battery Replacement, Camera Repair]","Fast, Friendly Service","Pearland, TX","N/A","(713) 436-0848"
"Cellpoint","4.9 (532)","[Screen Repair, Phone Repair, Shattered Screen]","Fast, Reliable Service","Pearland, TX","N/A","(832) 672-5505"
"Jumptronics Phone Rescue (Cell Phone Repair)","4.9 (623)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","Yukon, OK","N/A","(405) 698-9362"
"Cell Smart Yukon (Cell phone repair)","5 (72)","[Screen Repair, Phone Repair, Diagnostic Services]","Quick & Reliable","Yukon, OK","N/A","(405) 467-4191"
"fix Stop","4.6 (33)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Reliable","Yukon, OK","N/A","(572) 205-5927"
"Xpress Cellular Repair","4.2 (41)","[Screen Repair, iPhone Repair, Fast Repairs]","Fast & Reliable","Yukon, OK","N/A","(405) 577-6444"
"Phone Repair Oklahoma City","4.8 (20)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","N/A","N/A","(405) 534-5086"
"Mobile Evolution cellphone repair and accesories","4.8 (134)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick & Reliable","479 56th St","N/A","(718) 675-0278"
"Flatbush phone repairing shop","5 (251)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Affordable","1267 Flatbush Ave","N/A","(718) 314-3368"
"Tech Square Brooklyn Cell Phone Repair Shop","4.3 (69)","[Screen Repair, Battery Replacement, Diagnostic Service]","Reliable, Quick Fixes","5314 8th Ave","N/A","(347) 935-9975"
"uBreakiFix - Phone and Computer Repair","4.8 (826)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast & Reliable","8612 5th Ave","N/A","(929) 998-0200"
"iFix New York - Bay Ridge","4.7 (213)","[Screen Repair, Battery Replacement, Water Damage Repair]","Expert, Reliable Repairs","8319 3rd Ave","N/A","(718) 759-9000"
"uBreakiFix - Phone and Computer Repair","4.6 (1600)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast & Fair","Cedar Park, TX","N/A","(512) 456-7156"
"CellDoctor (APPLE CERTIFIED) @ Lakeline Mall, IPhone, Cell Phone Repair @Austin","4.8 (519)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast & Reliable","Cedar Park, TX","N/A","(512) 589-4540"
"Star Electronics Repair & Fix - Lakeline Mall","4.6 (205)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Affordable","Cedar Park, TX","N/A","(512) 506-0017"
"Phone Doctor of Austin","4.6 (256)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick & Reliable","Austin, TX","N/A","(512) 550-1530"
"Sour Tech","5 (27)","[Screen Repair, Battery Replacement, Water Damage]","Quality, Affordable, Fast","Cedar Park, TX","N/A","(844) 768-7349"
"Xpress Cellular Repair","4.7 (97)","[Screen Repair, iPhone Repair, Fast Repair]","Fast & Reliable","Westminster, CA","N/A","(714) 379-0379"
"FIX 4 LESS Cellphone Repair","4.9 (69)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Reliable","Westminster, CA","N/A","(714) 768-0491"
"Cell Phone Repair Pros","4.5 (105)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Affordable","Westminster, CA","N/A","(714) 202-6768"
"Bolsa Phone Service","5 (58)","[Screen Repair, Battery Replacement, Phone Repair]","Fast & Affordable","Westminster, CA","N/A","(714) 548-6495"
"iTechCare Repair","4.9 (53)","[Screen Repair, Phone Repair, Device Diagnostics]","Reliable, Quick Fixes","Westminster, CA","N/A","(657) 296-7175"
"The Fix - Phone Repair, Tablet Repair and Accessories","4.9 (1200)","[Screen Repair, Battery Replacement, Quick Diagnostics]","Fast & Affordable","Frisco, TX","N/A","(972) 880-5848"
"uBreakiFix - Phone and Computer Repair","4.7 (692)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Reliable","Frisco, TX","N/A","(214) 407-8550"
"CPR Cell Phone Repair","4.7 (355)","[Battery Replacement, Screen Repair, Phone Diagnostic]","Fast, Reliable Service","Frisco, TX","N/A","(469) 238-2980"
"Celltech | Cell Phone Repair Frisco","4.4 (374)","[Screen Repair, Camera Repair, Battery Replacement]","Fast & Reliable","Frisco, TX","N/A","(817) 800-7577"
"Dr. Cell Phone Repair | Frisco","4.6 (625)","[Screen Repair, Battery Replacement, Water Damage]","Reliable, Fast Repairs","Frisco, TX","N/A","(214) 308-9190"
"Mobile Go Repair Edinburg","5 (771)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Reliable","Edinburg, TX","N/A","(956) 899-6907"
"uBreakiFix - Phone and Computer Repair","4.8 (347)","[Screen Repair, Battery Replacement, Same-Day Repair]","Fast & Reliable","Edinburg, TX","N/A","(956) 329-1080"
"Smart Phone Medic","4.4 (329)","[Screen Repair, Battery Replacement, Quick Diagnostics]","Fast & Affordable","Edinburg, TX","N/A","(956) 329-1176"
"Mr. Fix My Phone","4.5 (64)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Reliable","Edinburg, TX","N/A","(956) 636-5656"
"Cellairis","4.6 (159)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast, Reliable Service","Edinburg, TX","N/A","(956) 247-2529"
"PHONE CITY | Phone Repair | Passport Photo | Money Transfer","4.9 (234)","[Screen Repair, Battery Replacement, Passport Photos]","Reliable, Quick Fixes","Brooklyn, NY","N/A","(347) 713-1537"
"Flatbush phone repairing shop","5 (251)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Affordable","Brooklyn, NY","N/A","(718) 314-3368"
"Phone Pros","4.9 (43)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Affordable","Brooklyn, NY","N/A","(929) 888-3328"
"Ozo Geeks - Mobile Laptop & Macbook Repair Service Store","4.6 (586)","[Screen Repair, Laptop Repair, Macbook Repair]","Fast & Reliable","Brooklyn, NY","N/A","(347) 338-2589"
"Repairs Bay","4.7 (405)","[Screen Repair, Battery Replacement, Water Damage]","Premium Quality Repairs","Brooklyn, NY","N/A","(718) 650-5757"
"Midway Cell Phone Repair","4.8 (38)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Reliable","Chicago, IL","N/A","(773) 584-7592"
"Simple Fix - Phone and Computer Repair","4.7 (450)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Affordable","Chicago, IL","N/A","(773) 245-9928"
"Jd Phone Repair","5 (24)","[Screen Repair, Battery Replacement, Fast Repair]","Fast, Reliable Service","Chicago, IL","N/A","(773) 234-1660"
"Device Fix","4.8 (90)","[iPhone Repair, Screen Repair, Quick Fixes]","Fast & Reliable","Chicago, IL","N/A","(773) 636-0875"
"Xtreme Mobile Inc.","4.9 (254)","[Screen Repair, iPhone Repair, Fast Repair]","Fast & Reliable","Chicago, IL","N/A","(773) 581-8111"
"Cell Phone Repair SKT","4.8 (270)","[Water Damage Repair, Screen Repair, Fast Repair]","Fast & Reliable","Brooklyn, NY","N/A","(917) 858-0794"
"Flatbush phone repairing shop","5 (251)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Affordable","Brooklyn, NY","N/A","(718) 314-3368"
"Phone Fix & Smart Tech INC","5 (2)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast, Reliable Repairs","Brooklyn, NY","N/A","(631) 992-3323"
"Ozo Geeks - Mobile Laptop & Macbook Repair Service Store","4.6 (586)","[Screen Repair, Laptop Repair, Macbook Repair]","Fast & Reliable","Brooklyn, NY","N/A","(347) 338-2589"
"CELL PHONE FIX & REPAIR SUNSHINE WIRELESS","4.6 (99)","[Screen Repair, Samsung Repair, Mobile Repair]","Quick & Reasonable","Brooklyn, NY","N/A","(646) 499-6020"
"GadgetWorx","4.9 (208)","[Screen Repair, Battery Replacement, Fast Repair]","Speedy & Reliable","Hesperia, CA","N/A","(951) 824-0141"
"The Fix Walmart Hesperia","5 (1500)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast & Affordable","Hesperia, CA","N/A","(760) 373-6334"
"uBreakiFix - Phone and Computer Repair","4.4 (169)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Turnaround Time","Hesperia, CA","N/A","(760) 956-7400"
"iRepair Medic LLC","4.7 (138)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Affordable","Hesperia, CA","N/A","(760) 265-1273"
"Cellairis SanMarcos (Phone Repair in San Marcos Inside Walmart) Apple, Samsung, Tablets, Laptops, Game Consoles, Drones,VR","5 (3700)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","San Marcos, TX","N/A","(210) 573-7097"
"uBreakiFix - Phone and Computer Repair","4.4 (376)","[Screen Repair, Battery Replacement, Diagnostic Service]","Competitive Pricing","San Marcos, TX","N/A","(512) 210-8277"
"Repair Plus San Marcos","4.8 (194)","[Screen Repair, Battery Replacement, iPhone Repair]","Lowest Price Guaranteed","San Marcos, TX","N/A","(737) 355-2135"
"1Up Repairs","4.4 (252)","[Screen Repair, Battery Replacement, Water Damage]","Fast, Reliable Repairs","San Marcos, TX","N/A","(512) 271-2000"
"Mobile Phone Geeks","4.2 (254)","[Screen Repair, Battery Replacement, Phone Diagnostics]","Fast, Reliable Repairs","San Marcos, TX","N/A","(512) 393-2800"
"Xclusif Cell iPhone Repair","4.6 (359)","[Screen Repair, Charger Port Repair, iPhone Repair]","Fast & Reliable","Riverside, CA","N/A","(951) 660-1212"
"The FIX","4.5 (639)","[Screen Repair, Case Sales, Screen Protectors]","Fast & Affordable","Riverside, CA","N/A","(951) 286-1168"
"D & R Electronix Cell Phone Repairs iPhone Samsung - Riverside","4.4 (196)","[Screen Repair, Battery Replacement, Water Damage]","Fast & Affordable","Riverside, CA","N/A","(951) 446-7888"
"Wo Phone Design Computer Plus","4.9 (500)","[iPhone Repair, Screen Repair, Fast Repair]","Fast & Reliable","Riverside, CA","N/A","(951) 687-1469"
"iFx4u","4.6 (132)","[Screen Repair, Battery Replacement, Diagnostic Services]","Fast & Reliable","Riverside, CA","N/A","(951) 566-1228"
"uBreakiFix - Phone and Computer Repair","4.8 (1000)","[Screen Repair, Battery Replacement, Charger Repair]","Fast, Friendly Service","Lehi, UT","N/A","(801) 331-8011"
"Batteries Plus Phone Repair","4.6 (70)","[Screen Repair, Battery Replacement, Phone Repair]","Convenient, Fast Service","Lehi, UT","N/A","(801) 991-2035"
"ZAGG Traverse Mountain","4.9 (1400)","[Screen Repair, Phone Repair, Device Protection]","Lightning Fast Service","Lehi, UT","N/A","(801) 341-8094"
"FixIT Mobile - American Fork","4.8 (1400)","[Screen Repair, Phone Repair, Mobile Repair]","Reliable, Fast Service","American Fork, UT","N/A","(385) 625-6576"
"QuickFix Mobile Windshield Repair & Replace, LLC","5 (925)","[Windshield Repair, Windshield Replacement, Mobile Service]","Fast & Reliable","Lehi, UT","N/A","(385) 368-7798"
"iFixandRepair - Richmond inside H-E-B Cellphone, Tablet, Computer, Game Console Repair","5 (402)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast & Reliable","Richmond, TX","N/A","(346) 608-5146"
"CPR Cell Phone Repair","4.9 (182)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast, Reliable Service","Richmond, TX","N/A","(713) 429-0908"
"CPR Cell Phone Repair","4.7 (974)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast, Reliable Service","Richmond, TX","N/A","(281) 594-8229"
"Alpha Fix | 15 Minutes Repair","4.8 (445)","[Screen Repair, Battery Replacement, Fast Repairs]","Speedy & Reliable","Richmond, TX","N/A","(346) 702-9909"
"Alpha Fix | 15 Minutes Repair","4.8 (280)","[Screen Repair, Battery Replacement, Charging Port Repair]","Fast & Affordable","Richmond, TX","N/A","(346) 464-2742"
"Mobile gadget repair","4.9 (52)","[Screen Repair, Battery Replacement, Quick Diagnostics]","Fast & Reliable","Suwanee, GA","N/A","(770) 495-0255"
"Celltronics - Phone & Laptop Repair Buy & Sell Phones","4.9 (102)","[Screen Repair, Battery Replacement, Phone Sales]","Fast & Reliable","Suwanee, GA","N/A","(770) 377-7661"
"Cellairis Cellphone Store Inside Walmart - Suwanee","4.9 (2600)","[Screen Repair, Battery Replacement, Phone Cases]","Fast & Reliable","Suwanee, GA","N/A","(470) 323-6452"
"CCR Repair llc","4.9 (460)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast & Affordable","Suwanee, GA","N/A","(404) 838-6256"
"Repairable Gadgets - Wholesale Cell Phones, Tablets, Laptop Repairs, Accessories, Parts & Micro soldering (Buford GA)","4.7 (57)","[Screen Repair, Battery Replacement, Micro Soldering]","Fast & Reliable","N/A","N/A","(404) 319-0745"
"We fix Phones","5 (8)","[Screen Repair, Battery Replacement, Water Damage]","Honest & Reliable","Brooklyn, NY","N/A","(646) 382-0778"
"Flatbush phone repairing shop","5 (251)","[Screen Repair, Battery Replacement, Fast Repair]","Fast & Affordable","Brooklyn, NY","N/A","(718) 314-3368"
"CELL PHONE FIX & REPAIR SUNSHINE WIRELESS","4.6 (99)","[Screen Repair, Samsung Repair, Mobile Repair]","Quick & Reasonable","Brooklyn, NY","N/A","(646) 499-6020"
"Ozo Geeks - Mobile Laptop & Macbook Repair Service Store","4.6 (586)","[Screen Repair, Laptop Repair, Macbook Repair]","Fast & Reliable","Brooklyn, NY","N/A","(347) 338-2589"
"Cell Phone Repair SKT","4.8 (270)","[Water Damage Repair, Screen Repair, Fast Repair]","Fast & Reliable","Brooklyn, NY","N/A","(917) 858-0794"
